State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
CHHATTISGARH,RAJNANDGAON,PADDY-BPT,"2,065","2,075","2,100",10-09-2025
GUJARAT,MORBI,GROUND NUT,"4,400","4,400","4,400",10-09-2025
GUJARAT,RAJKOT,CUMMIN,"16,820","17,625","17,625",10-09-2025
HARYANA,ADAMPUR,MUSTARD,"6,810","7,050","7,100",10-09-2025
HARYANA,AMBALA CANTT. APMC,GARLIC,"5,000","5,000","5,000",10-09-2025
HARYANA,DABWALI,PEAR,"2,000","2,000","9,000",10-09-2025
HARYANA,HANSI,WATER MELON,"2,000","2,000","2,000",10-09-2025
HARYANA,SIRSA,TINDA,"4,000","4,000","4,000",10-09-2025
HARYANA,SIRSA,POMEGRANATE,"9,500","9,500","9,500",10-09-2025
HARYANA,SOHNA,CUCUMBER,"1,800","2,500","2,500",10-09-2025
HARYANA,THANESAR,LEMON,"3,000","3,000","4,500",10-09-2025
HIMACHAL PRADESH,CHAMBA,POTATO,"1,200","1,200","1,200",10-09-2025
HIMACHAL PRADESH,UNA,CAULIFLOWER,"6,000","6,000","6,000",10-09-2025
JAMMU AND KASHMIR,NARWAL,APPLE,"12,000","12,000","12,000",10-09-2025
JAMMU AND KASHMIR,UDHAMPUR,LADY FINGER,"3,000","3,000","3,000",10-09-2025
MAHARASHTRA,BEED,URAD (BLACK GRAM),"5,360","5,600","5,600",10-09-2025
MAHARASHTRA,CHANDUR BAZAR,JOWAR,"2,050","2,050","2,050",10-09-2025
MAHARASHTRA,CHANDUR BAZAR,WHEAT,"2,550","2,550","2,550",10-09-2025
RAJASTHAN,AABU ROAD,CORIANDAR,"9,600","9,600","9,600",10-09-2025
RAJASTHAN,AABU ROAD,BITTER GOURD,"2,400","2,400","2,400",10-09-2025
RAJASTHAN,BARMER,BEANS -CLUSTER,"5,240","5,240","5,240",10-09-2025
RAJASTHAN,BARMER,CABBAGE,"3,030","3,030","3,030",10-09-2025
RAJASTHAN,BARODAMEV,WHEAT,"2,622","2,622","2,622",10-09-2025
RAJASTHAN,CHOMU F AND V,BHINDI (LADIES FINGER),"4,025","4,045","4,050",10-09-2025
